record_number,full_text_id,processed,decision,reason,Key,Publication Year,Author,Title,Publication Title,ISSN,DOI,Issue,Volume,Journal Abbreviation,Country,Language,Rights,Extra,Notes,File Attachments,Link Attachments
660,ft_660,NA,Include - Title/Abstract,NA,HAEXAHBN,1997,"Dietrich, N.; Pruden, S.; Ksiazek, T. G.; Morzunov, S. P.; Camp, J. W.",A small-scale survey of hantavirus in mammals from Indiana.,Journal of wildlife diseases,0090-3558,10.7589/0090-3558-33.4.818,4,33,J Wildl Dis,USA,eng,NA,Place: United States PMID: 9391967,NA,NA,NA
661,ft_661,NA,Include - Title/Abstract,NA,8EVXYF7T,1997,"Williams, R. J.; Bryan, R. T.; Mills, J. N.; Palma, R. E.; Vera, I.; De Velasquez, F.; Baez, E.; Schmidt, W. E.; Figueroa, R. E.; Peters, C. J.; Zaki, S. R.; Khan, A. S.; Ksiazek, T. G.",An outbreak of hantavirus pulmonary syndrome in western Paraguay.,The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1997.57.274,3,57,Am J Trop Med Hyg,Paraguay,eng,NA,Place: United States PMID: 9311636,NA,NA,NA
662,ft_662,NA,Include - Title/Abstract,NA,E5KB4LBF,1997,"Cantoni, G.; Lazaro, M.; Resa, A.; Arellano, O.; Amestoy, A. M.; De Bunder, S.; Herrero, E.; Perez, A.; Larrieu, E.","Hantavirus pulmonary syndrome in the Province of Rio Negro, Argentina, 1993-1996.",Revista do Instituto de Medicina Tropical de Sao Paulo,0036-4665,10.1590/s0036-46651997000400002,4,39,Rev Inst Med Trop Sao Paulo,Argentina,eng,NA,Place: Brazil PMID: 9640780,NA,NA,NA
663,ft_663,NA,Include - Title/Abstract,NA,7ZMH6HJK,1997,"Kosoy, M. Y.; Slonova, R. A.; Mills, J. N.; Mandel, E.; Childs, J. E.",Community structure and prevalence of hantavirus infection in rodents: a geographic division of the enzootic area in far eastern Russia.,Journal of vector ecology : journal of the Society for Vector Ecology,1081-1710,NA,1,22,J Vector Ecol,NA,eng,NA,Place: United States PMID: 9221739,NA,NA,NA
664,ft_664,NA,Include - Title/Abstract,NA,GZW9SBWI,1997,"Plyusnin, A.; Hörling, J.; Kanerva, M.; Mustonen, J.; Cheng, Y.; Partanen, J.; Vapalahti, O.; Kukkonen, S. K.; Niemimaa, J.; Henttonen, H.; Niklasson, B.; Lundkvist, A.; Vaheri, A.",Puumala hantavirus genome in patients with nephropathia epidemica: correlation of PCR positivity with HLA haplotype and link to viral sequences in local rodents.,Journal of clinical microbiology,0095-1137 1098-660X,10.1128/jcm.35.5.1090-1096.1997,5,35,J Clin Microbiol,NA,eng,NA,Place: United States PMID: 9114386 PMCID: PMC232708,NA,NA,NA
665,ft_665,NA,Include - Title/Abstract,NA,6YHXWWMD,1996,"Jay, M.; Hjelle, B.; Davis, R.; Ascher, M.; Baylies, H. N.; Reilly, K.; Vugia, D.",Occupational exposure leading to hantavirus pulmonary syndrome in a utility company employee.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,1058-4838,10.1093/clinids/22.5.841,5,22,Clin Infect Dis,USA,eng,NA,Place: United States PMID: 8722943,NA,NA,NA
666,ft_666,NA,Include - Title/Abstract,NA,LQ9BRG6N,1996,"Weigler, B. J.; Ksiazek, T. G.; Vandenbergh, J. G.; Levin, M.; Sullivan, W. T.",Serological evidence for zoonotic hantaviruses in North Carolina rodents.,Journal of wildlife diseases,0090-3558,10.7589/0090-3558-32.2.354,2,32,J Wildl Dis,USA,eng,NA,Place: United States PMID: 8722278,NA,NA,NA
667,ft_667,NA,Include - Title/Abstract,NA,M59TTDNT,1996,"Song, J. W.; Baek, L. J.; Gavrilovskaya, I. N.; Mackow, E. R.; Hjelle, B.; Yanagihara, R.",Sequence analysis of the complete S genomic segment of a newly identified hantavirus isolated from the white-footed mouse (Peromyscus leucopus): phylogenetic relationship with other sigmodontine rodent-borne hantaviruses.,Virus genes,0920-8569,10.1007/BF00284645,3,12,Virus Genes,USA,eng,NA,Place: United States PMID: 8883362,NA,NA,NA
668,ft_668,NA,Include - Title/Abstract,NA,UEYXMSRA,1996,"Khan, A. S.; Gaviria, M.; Rollin, P. E.; Hlady, W. G.; Ksiazek, T. G.; Armstrong, L. R.; Greenman, R.; Ravkov, E.; Kolber, M.; Anapol, H.; Sfakianaki, E. D.; Nichol, S. T.; Peters, C. J.; Khabbaz, R. F.",Hantavirus pulmonary syndrome in Florida: association with the newly identified Black Creek Canal virus.,The American journal of medicine,0002-9343,10.1016/s0002-9343(96)90010-8,1,100,Am J Med,USA,eng,NA,Place: United States PMID: 8579086,NA,NA,NA
669,ft_669,NA,Include - Title/Abstract,NA,CUMJ9PIS,1995,"Henderson, W. W.; Monroe, M. C.; St Jeor, S. C.; Thayer, W. P.; Rowe, J. E.; Peters, C. J.; Nichol, S. T.",Naturally occurring Sin Nombre virus genetic reassortants.,Virology,0042-6822,10.1006/viro.1995.0071,2,214,Virology,USA,eng,NA,Place: United States PMID: 8553562,NA,NA,NA
670,ft_670,NA,Include - Title/Abstract,NA,6YYEV3E7,1995,"Rowe, J. E.; St Jeor, S. C.; Riolo, J.; Otteson, E. W.; Monroe, M. C.; Henderson, W. W.; Ksiazek, T. G.; Rollin, P. E.; Nichol, S. T.",Coexistence of several novel hantaviruses in rodents indigenous to North America.,Virology,0042-6822,10.1006/viro.1995.1552,1,213,Virology,USA,eng,NA,Place: United States PMID: 7483255,NA,NA,NA
671,ft_671,NA,Include - Title/Abstract,NA,72GGMEEW,1995,"Kariwa, H.; Yoshizumi, S.; Arikawa, J.; Yoshimatsu, K.; Takahashi, K.; Takashima, I.; Hashimoto, N.","Evidence for the existence of Puumula-related virus among Clethrionomys rufocanus in Hokkaido, Japan.",The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1995.53.222,3,53,Am J Trop Med Hyg,Japan,eng,NA,Place: United States PMID: 7573700,NA,NA,NA
672,ft_672,NA,Include - Title/Abstract,NA,AYHSJ8CX,1995,"Niklasson, B.; Hornfeldt, B.; Lundkvist, A.; Bjorsten, S.; Leduc, J.",Temporal dynamics of Puumala virus antibody prevalence in voles and of nephropathia epidemica incidence in humans.,The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1995.53.134,2,53,Am J Trop Med Hyg,Sweden,eng,NA,Place: United States PMID: 7677213,NA,NA,NA
673,ft_673,NA,Include - Title/Abstract,NA,88EQG6Y2,1995,"Ravkov, E. V.; Rollin, P. E.; Ksiazek, T. G.; Peters, C. J.; Nichol, S. T.",Genetic and serologic analysis of Black Creek Canal virus and its association with human disease and Sigmodon hispidus infection.,Virology,0042-6822,10.1006/viro.1995.1366,2,210,Virology,NA,eng,NA,Place: United States PMID: 7618284,NA,NA,NA
674,ft_674,NA,Include - Title/Abstract,NA,5VBB8FN4,1995,"Kozuch, O.; Gurycová, D.; Lysý, J.; Labuda, M.","Mixed natural focus of tick-borne encephalitis, tularemia and haemorrhagic fever with renal syndrome in west Slovakia.",Acta virologica,0001-723X,NA,2,39,Acta Virol,NA,eng,NA,Place: Slovakia PMID: 7676942,NA,NA,NA
675,ft_675,NA,Include - Title/Abstract,NA,6GDRSJ6T,1995,"Hjelle, B.; Anderson, B.; Torrez-Martinez, N.; Song, W.; Gannon, W. L.; Yates, T. L.",Prevalence and geographic genetic variation of hantaviruses of New World harvest mice (Reithrodontomys): identification of a divergent genotype from a Costa Rican Reithrodontomys mexicanus.,Virology,0042-6822,10.1006/viro.1995.1104,2,207,Virology,"USA, Costa Rica",eng,NA,Place: United States PMID: 7886948,NA,NA,NA
676,ft_676,NA,Include - Title/Abstract,NA,JM7PTCUQ,1994,"Liang, M.; Li, D.; Xiao, S. Y.; Hang, C.; Rossi, C. A.; Schmaljohn, C. S.",Antigenic and molecular characterization of hantavirus isolates from China.,Virus research,0168-1702,10.1016/0168-1702(94)90005-1,2,31,Virus Res,China,eng,NA,Place: Netherlands PMID: 7909976,NA,NA,NA
677,ft_677,NA,Include - Title/Abstract,NA,7WMIY6D7,1991,"Xu, X. A.; Ruo, S. L.; Tang, Y. W.; Fisher-Hoch, S. P.; McCormick, J. B.",Molecular characterization and expression of glycoprotein gene of Hantavirus R22 strain isolated from Rattus norvegicus in China.,Virus research,0168-1702,10.1016/0168-1702(91)90070-c,1,21,Virus Res,China,eng,NA,Place: Netherlands PMID: 1962503,NA,NA,NA
678,ft_678,NA,Include - Title/Abstract,NA,4CJPYM79,1991,"Mills, J. N.; Ellis, B. A.; McKee, K. T. Jr; Ksiazek, T. G.; Oro, J. G.; Maiztegui, J. I.; Calderon, G. E.; Peters, C. J.; Childs, J. E.",Junin virus activity in rodents from endemic and nonendemic loci in central Argentina.,The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1991.44.589,6,44,Am J Trop Med Hyg,Argentina,eng,NA,Place: United States PMID: 1650148,NA,NA,NA
679,ft_679,NA,Include - Title/Abstract,NA,PKLZAR3S,1988,"Gligić, A.; Obradović, M.; Stojanović, R.; Hlaca, D.; Antonijević, B.; Arnautović, A.; Gaon, J.; Frusic, M.; Lee, P.; Goldgaber, D.",Hemorrhagic fever with renal syndrome in Yugoslavia: detection of hantaviral antigen and antibody in wild rodents and serological diagnosis of human disease.,Scandinavian journal of infectious diseases,0036-5548,10.3109/00365548809032449,3,20,Scand J Infect Dis,"Bosnia, Serbia",eng,NA,Place: England PMID: 2900550,NA,NA,NA
680,ft_680,NA,Include - Title/Abstract,NA,MFJUM5JT,1987,"Verhagen, R.; Van der Groen, G.; Ivanov, A.; Van Rompaey, J.; Leirs, H.; Verheyen, W.",Occurrence and distribution of Hantavirus in wild living mammals in Belgium.,Acta virologica,0001-723X,NA,1,31,Acta Virol,NA,eng,NA,Place: Slovakia PMID: 2883857,NA,NA,NA
681,ft_681,NA,Include - Title/Abstract,NA,9QCUG538,1986,"LeDuc, J. W.; Antoniades, A.; Siamopoulos, K.",Epidemiological investigations following an outbreak of hemorrhagic fever with renal syndrome in Greece.,The American journal of tropical medicine and hygiene,0002-9637,10.4269/ajtmh.1986.35.654,3,35,Am J Trop Med Hyg,Greece,eng,NA,Place: United States PMID: 2871769,NA,NA,NA
682,ft_682,NA,Include - Title/Abstract,NA,UGQVMS7Q,1985,"Georges, A. J.; Gonzalez, J. P.; Abdul-Wahid, S.; Saluzzo, J. F.; Meunier, D. M.; McCormick, J. B.",Antibodies to Lassa and Lassa-like viruses in man and mammals in the Central African Republic.,Transactions of the Royal Society of Tropical Medicine and Hygiene,0035-9203,10.1016/0035-9203(85)90242-1,1,79,Trans R Soc Trop Med Hyg,Central African Republic,eng,NA,Place: England PMID: 2986324,NA,NA,NA
683,ft_683,NA,Include - Title/Abstract,NA,AAC43XS7,2023,"Liu, Shi-Wen; Li, Jian-Xiong; Zou, Long; Liu, Xiao-Qing; Xu, Gang; Xiong, Ying; Long, Zhong-Er","Orthohantavirus infections in humans and rodents in the Yichun region, China, from 2016 to 2021.",PLoS neglected tropical diseases,1935-2735 1935-2727,10.1371/journal.pntd.0011540,8,17,PLoS Negl Trop Dis,China,eng,"Copyright: © 2023 Liu et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",Place: United States PMID: 37552670 PMCID: PMC10437993,NA,NA,NA
684,ft_684,NA,Include - Title/Abstract,NA,TKY8ZKSH,2018,"Kim, Heung-Chul; Kim, Won-Keun; No, Jin Sun; Lee, Seung-Ho; Gu, Se Hun; Chong, Sung-Tae; Klein, Terry A.; Song, Jin-Won","Urban Rodent Surveillance, Climatic Association, and Genomic Characterization of Seoul Virus Collected at U.S. Army Garrison, Seoul, Republic of Korea, 2006-2010.",The American journal of tropical medicine and hygiene,1476-1645 0002-9637,10.4269/ajtmh.17-0459,2,99,Am J Trop Med Hyg,Republic of Korea,eng,NA,Place: United States PMID: 29869603 PMCID: PMC6090319,NA,NA,NA
685,ft_685,NA,Include - Title/Abstract,NA,TFNSEXQ5,2022,"Rojas-Gulloso, Andres; Sanchez-Lerma, Liliana; Fuentes R, Duvan; Chinchilla A, Diego; Contreras C, Veronica; Mattar, Salim","Search for Hantavirus and Arenavirus in rodents from Villavicencio, Colombia",REVISTA MVZ CORDOBA,0122-0268,10.21897/rmvz.2653,3,27,NA,Colombia,NA,NA,Section: 0,NA,NA,NA
686,ft_686,NA,Include - Title/Abstract,NA,Q2HQ94DP,2012,"Mauldin, Matthew R.; Keith, Megan S.; Louise Milazzo, Mary; Delton Hanson, J.","ASSESSMENT OF HANTAVIRUS AND ARENAVIRUS ANTIBODY PREVALENCE AND ASSOCIATED RODENT SPECIES IN DICKENS COUNTY, TEXAS",TEXAS JOURNAL OF SCIENCE,0040-4403,NA,01-Apr,64,NA,USA,NA,NA,Section: 0,NA,NA,NA
687,ft_687,NA,Include - Title/Abstract,NA,HTCNYYAX,2003,"Seijo, A; Pini, N; Levis, S; Coto, H; Deodato, B; Cernigoi, B; de Bassadoni, D; Enria, D",Hantavirus seoul in a human and rodent population from a marginal area in Buenos Aires City.,MEDICINA-BUENOS AIRES,0025-7680,NA,3,63,NA,Argentina,NA,NA,Section: 0,NA,NA,NA
688,ft_688,NA,Include - Title/Abstract,NA,NHATBX58,2011,"Lin, Sun; Qi, Shao; Zhi-qiang, Wang; Dian-min, Kang; Shi-wei, Li; Xue-gang, Li; Fu-zhong, Xue; Jie-zhen, Wang",Spatial structure of rodent populations and infection patterns of hantavirus in seven villages of Shandong Province from February 2006 to January 2007,CHINESE MEDICAL JOURNAL,0366-6999,10.3760/cma.j.issn.0366-6999.2011.11.007,11,124,NA,China,NA,NA,Section: 0,NA,NA,NA
689,ft_689,NA,Include - Title/Abstract,NA,7FVK97KM,2004,"de Lemos, ERS; D'Andrea, PS; Bonvicino, CR; Famadas, KM; Padula, P; Cavalcanti, AA; Schatzmayr, HG","Evidence of Hantavirus infection in wild rodents captured in a rural area of the state of Sao Paulo, Brazill",PESQUISA VETERINARIA BRASILEIRA,0100-736X,10.1590/S0100-736X2004000200004,2,24,NA,Brazil,NA,NA,Section: 0,NA,NA,NA
690,ft_690,NA,Include - Title/Abstract,NA,PSFHIH6E,2002,"Baek, LJ; Song, JW; Park, KS; Kho, EY; Ryu, SH; Yanagihara, R; Song, KJ","Seroepizootiology of hantavirus infection in indigenous rodents in Korea, during 1995-2000",JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY,1017-7825,NA,1,12,NA,Republic of Korea,NA,NA,Section: 0,NA,NA,NA
691,ft_691,NA,Include - Title/Abstract,NA,SMIQWE72,2011,"Abramov, S. A.; Yashina, L. N.; Dupal, T. A.; Zdanovskaya, N. I.; Protopopova, E. V.; Pozdnyakov, A. A.; Krivopalov, A. V.; Petrovsky, D. V.",New Data on the Distribution of Hantavirus in Rodent Populations in Siberia,CONTEMPORARY PROBLEMS OF ECOLOGY,1995-4255,10.1134/S1995425511040102,4,4,NA,Russia,NA,NA,Section: 0,NA,NA,NA
692,ft_692,NA,Include - Title/Abstract,NA,2U8UEFG7,2009,"Belmar-Lucero, Sebastian; Godoy, Paula; Ferres, Marcela; Vial, Pablo; Eduardo Palma, R.","Range expansion of Oligoryzomys longicaudatus (Rodentia, Sigmodontinae) in Patagonian Chile, and first record of Hantavirus in the region",REVISTA CHILENA DE HISTORIA NATURAL,0716-078X,10.4067/S0716-078X2009000200008,2,82,NA,Chile,NA,NA,Section: 0,NA,NA,NA
693,ft_693,NA,Include - Title/Abstract,NA,LW7DBN7Z,2022,"Parmenter, Robert R.; Glass, Gregory E.",Hantavirus outbreaks in the American Southwest: Propagation and retraction of rodent and virus diffusion waves from sky-island refugia,INTERNATIONAL JOURNAL OF MODERN PHYSICS B,0217-9792,10.1142/S021797922140052X,07N08,36,NA,USA,NA,NA,Section: 0,NA,NA,NA
694,ft_694,NA,Include - Title/Abstract,NA,SYI3CBP4,2016,"Bjedov, Linda; Svoboda, Petra; Tadin, Ante; Habus, Josipa; Stritof, Zrinka; Labas, Nikolina; Vucelja, Marko; Markotic, Alemka; Turk, Nenad; Margaletic, Josip",INFLUENCE OF BEECH MAST ON SMALL RODENT POPULATIONS AND HANTAVIRUS PREVALENCE IN NACIONAL PARK “PLITVICE LAKES” AND NATURE PARK “MEDVEDNICA”,SUMARSKI LIST,0373-1332,10.31298/sl.140.9-10.2,09-Oct,140,NA,NA,NA,NA,Section: 0,NA,NA,NA
695,ft_695,NA,Exclude - Full Text,"No data, meta-analysis",KYFW8ZV6,2005,"Root, JJ; Wilson, KR; Calisher, CH; Wagoner, KD; Abbott, KD; Yates, TL; Kuenzi, AJ; Morrison, ML; Mills, JN; Beaty, BJ",Spatial clustering of murid rodents infected with hantaviruses: Implications from meta-analyses,ECOLOGICAL APPLICATIONS,1051-0761,10.1890/03-5293,2,15,NA,NA,NA,NA,Section: 0,NA,NA,NA
696,ft_696,NA,Include - Title/Abstract,NA,ETPE4WZ6,2004,"Ortiz, JC; Venegas, W; Sandoval, JA; Chandia, P; Torres-Perez, F",Hantavirus in rodents of the VIII Region of Chile,REVISTA CHILENA DE HISTORIA NATURAL,0716-078X,NA,2,77,NA,Chile,NA,NA,Section: 0,NA,NA,NA
697,ft_697,NA,Include - Title/Abstract,NA,5IPLWUFK,2014,"Kushnareva, T. V.; Slonova, R. A.",The natural host range of hantaviruses and their reservoir potential in the dynamics of the epizootic process within the ecosystems of Primorskii Krai,CONTEMPORARY PROBLEMS OF ECOLOGY,1995-4255,10.1134/S1995425514010090,1,7,NA,Russia,NA,NA,Section: 0,NA,NA,NA
698,ft_698,NA,Include - Title/Abstract,NA,54THR2UN,2010,"Owen, Robert D.; Goodin, Douglas G.; Koch, David E.; Chu, Yong-Kyu; Jonsson, Colleen B.",Spatiotemporal variation in Akodon montensis (Cricetidae: Sigmodontinae) and hantaviral seroprevalence in a subtropical forest ecosystem,JOURNAL OF MAMMALOGY,0022-2372,10.1644/09-MAMM-A-152.1,2,91,NA,Paraguay,NA,NA,Section: 0,NA,NA,NA
699,ft_699,NA,Include - Title/Abstract,NA,HJRTW79M,2006,"Abramson, G; Giuggioli, L; Kenkre, VM; Dragoo, JW; Parmenter, RR; Parmenter, CA; Yates, TL",Diffusion and home range parameters for rodents: Peromyscus maniculants in New Mexico,ECOLOGICAL COMPLEXITY,1476-945X,10.1016/j.ecocom.2005.07.001,1,3,NA,USA,NA,NA,Section: 0,NA,NA,NA
700,ft_700,NA,Include - Title/Abstract,NA,5TPNABVP,2014,"Moreno-Torres, Karla; Gual-Sill, Fernando; Morales-Jimenez, Ricardo; Rubio, Andre V.; Ceballos, Gerardo; Suzan, Gerardo","SEROLOGICAL SURVEY OF HANTAVIRUS IN RODENTS FROM PRAIRIE DOG ECOSYSTEMS IN CHIHUAHUA, MEXICO",SOUTHWESTERN NATURALIST,0038-4909,NA,4,59,NA,Mexico,NA,NA,Section: 0,NA,NA,NA
701,ft_701,NA,Include - Title/Abstract,NA,J2F99Z5I,2008,"Fernandez, J.; Villagra, E.; Yung, V.; Tognarelli, J.; Araya, P.; Mora, J.; Cattan, P. E.; Ramirez, E.",Identification of Andes Hantavirus in Rattus norvegicus,ARCHIVOS DE MEDICINA VETERINARIA,0301-732X,10.4067/S0301-732X2008000300011,3,40,NA,Chile,NA,NA,Section: 0,NA,NA,NA
702,ft_702,NA,Include - Title/Abstract,NA,VEUFVADQ,2006,"Goodin, Douglas G.; Koch, David E.; Owen, Robert D.; Chu, Yong-Kyu; Hutchinson, J. M. Shawn; Jonsson, Colleen B.",Land cover associated with hantavirus presence in Paraguay,GLOBAL ECOLOGY AND BIOGEOGRAPHY,1466-822X,10.1111/j.1466-822x.2006.00244.x,5,15,NA,Paraguay,NA,NA,Section: 0,NA,NA,NA
703,ft_703,NA,Include - Title/Abstract,NA,NRDG353E,2018,"Polop, Francisco; Levis, Silvana; Pini, Noemi; Enria, Delia; Polop, Jaime; Cecilia Provensal, Maria","Factors associated with hantavirus infection in a wild host rodent from Cholila, Chubut Province, Argentina",MAMMALIAN BIOLOGY,1616-5047,10.1016/j.mambio.2017.10.007,NA,88,NA,Argentina,NA,NA,Section: 0,NA,NA,NA
704,ft_704,NA,Include - Title/Abstract,NA,YDE2EAKL,2013,"Pitts, Richard M.; Mauldin, Matthew R.; Thompson, Cody W.; Choate, Jerry R.",EVIDENCE OF HANTAVIRUS EXPOSURE IN RODENTS FROM NORTH TEXAS,WESTERN NORTH AMERICAN NATURALIST,1527-0904,10.3398/064.073.0314,3,73,NA,USA,NA,NA,Section: 0,NA,NA,NA
705,ft_705,NA,Include - Title/Abstract,NA,QDMWDMCM,2012,"Arellano, Elizabeth; Castro-Arellano, Ivan; Suzan, Gerardo; Gonzalez-Cozatl, Francisco X.; Morales Jimenez, Ricardo","ANTIBODY SEROPREVALENCE TO HANTAVIRUSES IN RODENTS FROM RESERVA DE LA BIOSFERA SIERRA DE HUAUTLA, MORELOS",WESTERN NORTH AMERICAN NATURALIST,1527-0904,10.3398/064.072.0114,1,72,NA,Mexico,NA,NA,Section: 0,NA,NA,NA
706,ft_706,NA,Include - Title/Abstract,NA,7IIELXBM,2012,"Andreo, Veronica; Provensal, Cecilia; Levis, Silvana; Pini, Noemi; Enria, Delia; Polop, Jaime","Summer-autumn distribution and abundance of the hantavirus host, Oligoryzomys longicaudatus, in northwestern Chubut, Argentina",JOURNAL OF MAMMALOGY,0022-2372,10.1644/11-MAMM-A-201.1,6,93,NA,Argentina,NA,NA,Section: 0,NA,NA,NA
707,ft_707,NA,Include - Title/Abstract,NA,QAD3782T,2023,"Mahmoudi, Ahmad; Mostafavi, Ehsan; Mohammadi, Ali; Jalali, Tahmineh; Denys, Christiane; Nicolas, Violaine; Hugot, Jean-Pierre; Lalis, Aude; Salehi-Vaziri, Mostafa",The first identification of Tula orthohantavirus in forest dormice (Rodentia: Gliridae) from Iran,MAMMALIA,0025-1461,10.1515/mammalia-2023-0025,4,87,NA,Iran,NA,NA,Section: 0,NA,NA,NA
708,ft_708,NA,Include - Title/Abstract,NA,TI464SLF,2022,"Gheler-Costa, Carla; Sabino-Santos Jr, Gilberto; Rosalino, Luis Miguel; Amorim, Luana Santos; Maia, Felipe Goncalves M.; Moral, Rafael de Andrade; Ferreira, Iuri E. P.; Figueiredo, Luiz-Thadeu M.; Pina, Carlos, I; Verdade, Luciano M.",The influence of sugarcane pre-harvest fire on hantavirus prevalence in Neotropical small mammals,ECOSPHERE,2150-8925,10.1002/ecs2.4241,9,13,NA,Brazil,NA,NA,Section: 0,NA,NA,NA
709,ft_709,NA,Include - Title/Abstract,NA,GXZV35NZ,2021,"Christova, Iva; Trifonova, Iva; Panayotova, Elitsa; Dimitrov, Hristo; Gladnishka, Teodora; Mitkovska, Vesela; Taseva, Evgenia; Gergova, Ivanka",Hantaviruses in Small Mammals in Two Regions in Bulgaria,ACTA ZOOLOGICA BULGARICA,0324-0770,NA,1,73,NA,NA,NA,NA,Section: 0,NA,NA,NA
710,ft_710,NA,Include - Title/Abstract,NA,IEY68AJT,2015,"Magnusson, M.; Ecke, F.; Khalil, H.; Olsson, G.; Evander, M.; Niklasson, B.; Hornfeldt, B.",Spatial and temporal variation of hantavirus bank vole infection in managed forest landscapes,ECOSPHERE,2150-8925,10.1890/ES15-00039.1,9,6,NA,Sweden,NA,NA,Section: 0,NA,NA,NA
711,ft_711,NA,Include - Title/Abstract,NA,MNR3Q2I9,2011,"Cao, Lina; Cova, Thomas J.; Dennison, Philip E.; Dearing, M. Denise",Using MODIS satellite imagery to predict hantavirus risk,GLOBAL ECOLOGY AND BIOGEOGRAPHY,1466-822X,10.1111/j.1466-8238.2010.00630.x,4,20,NA,USA,NA,NA,Section: 0,NA,NA,NA
712,ft_712,NA,Exclude - Full Text,"No data, no pathogen data",3LE72GH6,2009,"Eduardo Carbajo, Anibal; Teta, Pablo",Distribution of the hantavirus reservoir Oligoryzomys nigripes in Argentina: choosing spatial models for the actual and potential distribution of the black-footed colilargo,MAMMALIA,0025-1461,10.1515/MAMM.2009.057,4,73,NA,NA,NA,NA,Section: 0,NA,NA,NA
713,ft_713,NA,Include - Title/Abstract,NA,VW8YLVSM,2013,"Chassovnikarova, Tsenka G.; Atanassov, Nasko I.; Christova, Iva S.; Dimitrov, Hristo A.; Mitkovska, Vesela I.; Trifonova, Iva P.; Gladnishka, Teodora K.; Kalvachev, Nikolai Z.; Mohareb, Emad",Hantavirus Infections in Host Populations of Yellow-Necked and Field Mice (Rodentia: Muridae) in South Bulgaria,ACTA ZOOLOGICA BULGARICA,0324-0770,NA,3,65,NA,Bulgaria,NA,NA,Section: 0,NA,NA,NA
714,ft_714,NA,Include - Title/Abstract,NA,GMBFTFB6,2008,"Johansson, Patrik; Olsson, Gert E.; Low, Hwee-Teng; Bucht, Goran; Ahlm, Clas; Juto, Per; Elgh, Fredrik",Puumala hantavirus genetic variability in an endemic region (Northern Sweden),INFECTION GENETICS AND EVOLUTION,1567-1348,10.1016/j.meegid.2008.01.003,3,8,NA,Sweden,NA,NA,Section: 0,NA,NA,NA
715,ft_715,NA,Include - Title/Abstract,NA,XTYP9D9K,2007,"Abu Daud, Nur Hardy; Kariwa, Hiroaki; Tanikawa, Yoich; Nakamura, Ichiro; Seto, Takahiro; Miyashita, Daisuke; Yoshii, Kentaro; Nakauchi, Mina; Yoshimatsu, Kumiko; Arikawa, Jiro; Takashima, Ikuo","Mode of infection of Hokkaido virus (Genus hantavirus) among grey red-backed voles, Myodes rufocanus, in Hokkaido, Japan",MICROBIOLOGY AND IMMUNOLOGY,0385-5600,10.1111/j.1348-0421.2007.tb04003.x,11,51,NA,Japan,NA,NA,Section: 0,NA,NA,NA
716,ft_716,NA,Include - Title/Abstract,NA,SGQGD6Y4,1998,"Vahlenkamp, M; Muller, T; Tackmann, K; Loschner, U; Schmitz, H; Schreiber, M",The muskrat (Ondatra zibethicus) as a new reservoir for puumala-like hantavirus strains in Europe,VIRUS RESEARCH,0168-1702,10.1016/S0168-1702(98)00084-7,2,57,NA,Germany,NA,NA,Section: 0,NA,NA,NA
717,ft_717,NA,Include - Title/Abstract,NA,UY5TQG58,1998,"Dearing, MD; Mangione, AM; Karasov, WH; Morzunov, S; Otteson, E; St Jeor, S",Prevalence of hantavirus in four species of Neotoma from Arizona and Utah,JOURNAL OF MAMMALOGY,0022-2372,10.2307/1383016,4,79,NA,USA,NA,NA,Section: 0,NA,NA,NA
718,ft_718,NA,Include - Title/Abstract,NA,NRFKLAWZ,2008,"Mikhailova, T. V.; Bernshtein, A. D.; Balakirev, A. E.; Apekina, N. S.; Al'bov, S. A.; Novokhatka, A. D.; Dorofeev, E. M.","Some features of Microtus arvalis and Microtus rossiaemeridionalis (Rodentia, Cricetidae) biology and their relationships with the hantavirus Tula",ZOOLOGICHESKY ZHURNAL,0044-5134,NA,2,87,NA,NA,NA,NA,Section: 0,NA,NA,NA
719,ft_719,NA,Include - Title/Abstract,NA,AEU8UUSS,2021,"Tirera, Sourakhata; de Thoisy, Benoit; Donato, Damien; Bouchier, Christiane; Lacoste, Vincent; Franc, Alain; Lavergne, Anne",The Influence of Habitat on Viral Diversity in Neotropical Rodent Hosts,VIRUSES-BASEL,NA,10.3390/v13091690,9,13,NA,French Guiana,NA,NA,Section: 0,NA,NA,NA
720,ft_720,NA,Include - Title/Abstract,NA,5VKG3HUY,2017,"Maas, Miriam; de Vries, Ankje; van Roon, Annika; Takumi, Katsuhisa; van der Giessen, Joke; Rockx, Barry",High Prevalence of Tula Hantavirus in Common Voles in The Netherlands,VECTOR-BORNE AND ZOONOTIC DISEASES,1530-3667,10.1089/vbz.2016.1995,3,17,NA,Netherlands,NA,NA,Section: 0,NA,NA,NA
